"07459: Befolkning, etter region, år og statistikkvariabel"

"region";"år";"Personer"
"K-1577 Volda";"2017";10300
"K-1578 Fjord";"2017";2668
"K-1579 Hustadvika";"2017";13195
"K-5001 Trondheim";"2017";196514
"K-5006 Steinkjer";"2017";24487
"K-5007 Namsos";"2017";15272
"K-5014 Frøya";"2017";4937
"K-5020 Osen";"2017";978
"K-5021 Oppdal";"2017";6973
"K-5022 Rennebu";"2017";2556
"K-5025 Røros";"2017";5623
"K-5026 Holtålen";"2017";2046
"K-5027 Midtre Gauldal";"2017";6319
"K-5028 Melhus";"2017";16213
"K-5029 Skaun";"2017";8000
"K-5031 Malvik";"2017";13820
"K-5032 Selbu";"2017";4098
"K-5033 Tydal";"2017";861
"K-5034 Meråker";"2017";2508
"K-5035 Stjørdal";"2017";23625
"K-5036 Frosta";"2017";2630
"K-5037 Levanger";"2017";19892
"K-5038 Verdal";"2017";14849
"K-5041 Snåase - Snåsa";"2017";2159
"K-5042 Lierne";"2017";1389
"K-5043 Raarvihke - Røyrvik";"2017";469
"K-5044 Namsskogan";"2017";872
"K-5045 Grong";"2017";2467
"K-5046 Høylandet";"2017";1264
"K-5047 Overhalla";"2017";3840
"K-5049 Flatanger";"2017";1090
"K-5052 Leka";"2017";584
"K-5053 Inderøy";"2017";6800
"K-5054 Indre Fosen";"2017";10108
"K-5055 Heim";"2017";0
"K-5056 Hitra";"2017";0
"K-5057 Ørland";"2017";10113
"K-5058 Åfjord";"2017";4222
"K-5059 Orkland";"2017";0
"K-5060 Nærøysund";"2017";9556
"K-5061 Rindal";"2017";2026
"K-1804 Bodø";"2017";51022
"K-1806 Narvik";"2017";0
"K-1811 Bindal";"2017";1473
"K-1812 Sømna";"2017";2047
"K-1813 Brønnøy";"2017";7956
"K-1815 Vega";"2017";1234
"K-1816 Vevelstad";"2017";528
"K-1818 Herøy (Nordland)";"2017";1788
"K-1820 Alstahaug";"2017";7428
"K-1822 Leirfjord";"2017";2278
"K-1824 Vefsn";"2017";13465
"K-1825 Grane";"2017";1469
"K-1826 Hattfjelldal";"2017";1414
"K-1827 Dønna";"2017";1410
"K-1828 Nesna";"2017";1837
"K-1832 Hemnes";"2017";4524
"K-1833 Rana";"2017";26101
"K-1834 Lurøy";"2017";1920
"K-1835 Træna";"2017";465
"K-1836 Rødøy";"2017";1267
"K-1837 Meløy";"2017";6435
"K-1838 Gildeskål";"2017";2024
"K-1839 Beiarn";"2017";1043
"K-1840 Saltdal";"2017";4702
"K-1841 Fauske - Fuosko";"2017";9729
"K-1845 Sørfold";"2017";1958
"K-1848 Steigen";"2017";2543
"K-1851 Lødingen";"2017";2134
"K-1853 Evenes - Evenássi";"2017";1402
"K-1856 Røst";"2017";535
"K-1857 Værøy";"2017";744
"K-1859 Flakstad";"2017";1349
"K-1860 Vestvågøy";"2017";11294
"K-1865 Vågan";"2017";9444
"K-1866 Hadsel";"2017";8009
"K-1867 Bø";"2017";2624
"K-1868 Øksnes";"2017";4580
"K-1870 Sortland - Suortá";"2017";10378
"K-1871 Andøy";"2017";4908
"K-1874 Moskenes";"2017";1073
"K-1875 Hamarøy";"2017";0
"K-5401 Tromsø";"2017";74541
"K-5402 Harstad";"2017";24845
"K-5403 Alta";"2017";20446
"K-5404 Vardø";"2017";2104
"K-5405 Vadsø";"2017";6154
"K-5406 Hammerfest";"2017";11554
"K-5411 Kvæfjord";"2017";2986
"K-5412 Tjeldsund";"2017";4300
"K-5413 Ibestad";"2017";1394
"K-5414 Gratangen";"2017";1121
"K-5415 Loabák - Lavangen";"2017";1076
